Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),3.90,0.01
kexAB (s^-1),13,1
R1 (s^-1),1.37,0.07
R2 (s^-1),30.38,0.09
Red. Chi-sq,1.07
