Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),2.98,0.02
kexAB (s^-1),23,4
R1 (s^-1),1.78,0.08
R2 (s^-1),35.31,0.10
Red. Chi-sq,1.63
