Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),3.56,0.07
kexAB (s^-1),957,27
R1 (s^-1),1.22,0.06
R2 (s^-1),18.15,0.08
Red. Chi-sq,0.15
