Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),5.83,1.08
kexAB (s^-1),4107,2421
R1 (s^-1),1.78,0.29
R2 (s^-1),21.28,0.87
Red. Chi-sq,1.80
