Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.82,0.07
kexAB (s^-1),5413,695
R1 (s^-1),1.99,0.07
R2 (s^-1),29.47,0.46
Red. Chi-sq,0.59
