Fit #1
ac8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),2.50,0.10
kexAB (s^-1),144,6
R1 (s^-1),1.32,0.54
R2 (s^-1),32.47,0.62
Red. Chi-sq,1.59
