Fit #1
G_C1p_Off_clean Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),4.12,4.12
kexAB (s^-1),49,5
R1 (s^-1),2.24,0.05
R2 (s^-1),11.90,0.06
Red. Chi-sq,0.30
