Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
-100.0,200.0,19.109826082,0.550766258809,23.18254160145102,0.6884578235112498,19.29991129062209,23.420148112228635,-0.1900852086220901,-0.23760651077761352
-150.0,200.0,15.9675620434,0.485506236851,23.363648440452295,0.7586034950796874,16.313113694426374,23.903572895181004,-0.34555165102637453,-0.539924454728709
0.0,200.0,22.6339679368,0.555374368406,22.6339679368,0.555374368406,22.5961119818386,22.5961119818386,0.03785595496140104,0.03785595496140104
-700.0,200.0,4.72573174379,0.419930292813,28.0836365538176,5.564076379772249,4.817129165910448,29.294652396913527,-0.09139742212044766,-1.2110158430959288
100.0,200.0,18.4248450684,0.571232493628,22.326315334451017,0.7140406170349999,18.122936204407203,21.948929254460023,0.3019088639927965,0.3773860799909947
-600.0,200.0,5.60590027386,0.448496872281,30.6883267008368,4.484968722809998,5.47146489554794,29.343972917716204,0.13443537831205976,1.3443537831205958
-650.0,200.0,5.17870064509,0.615306429345,30.103418914533815,7.1144805893015635,5.121498094811503,29.4420144269387,0.057202550278496744,0.6614044875951137
-500.0,200.0,6.27479442184,0.351948900879,27.873734532115567,2.55162953137275,6.360654709893171,28.496221620501057,-0.08586028805317092,-0.6224870883854905
-550.0,200.0,5.72735198433,0.594239043571,27.72203608409406,5.0881718105766875,5.87832493541512,29.01474197776039,-0.15097295108511943,-1.29270589366633
-460.0,200.0,6.90223456325,0.422746691962,28.502735820646144,2.6590766924409803,6.8200569554976145,27.985838667883634,0.08217760775238592,0.5168971527625104
-480.0,200.0,6.62158328782,0.465861917729,28.524670361494746,3.1492265638480386,6.580826051153879,28.24915144163177,0.04075723666612063,0.27551891986297505
200.0,200.0,12.0476563384,0.410926065837,21.276348672604094,0.8218521316740002,12.140171011350647,21.46137801850539,-0.09251467295064764,-0.18502934590129527
400.0,200.0,6.35457081209,0.4464110453,20.49699804366636,2.2320552264999995,6.416785868096675,20.808073323699738,-0.062215056006674985,-0.3110752800333785
