Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.251,0.012
dwB (ppm),3.49,0.12
kexAB (s^-1),1321,108
R1 (s^-1),1.72,0.06
R2 (s^-1),16.45,0.09
Red. Chi-sq,0.11
