Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.21,0.02
kexAB (s^-1),1608,470
R1 (s^-1),4.73,0.06
R2 (s^-1),20.90,0.11
Red. Chi-sq,1.87
