Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),2.59,0.09
kexAB (s^-1),2973,218
R1 (s^-1),2.02,0.05
R2 (s^-1),14.39,0.19
Red. Chi-sq,0.15
