Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),1.400,1.400
dwB (ppm),1.82,0.08
kexAB (s^-1),83,5
R1 (s^-1),4.55,0.03
R2 (s^-1),21.03,0.03
Red. Chi-sq,0.37
