Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),6.14,2.60
kexAB (s^-1),3970,3931
R1 (s^-1),3.59,1.18
R2 (s^-1),33.81,2.91
Red. Chi-sq,6.82
