Fit #1
g10c8 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),3.28,0.13
kexAB (s^-1),426,12
R1 (s^-1),0.01,0.49
R2 (s^-1),27.36,0.52
Red. Chi-sq,1.91
