Fit #1
g10c1p Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),4.17,0.07
kexAB (s^-1),426,12
R1 (s^-1),0.29,0.25
R2 (s^-1),19.15,0.32
Red. Chi-sq,1.91
