Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),4.27,4.27
kexAB (s^-1),100000,4357046
R1 (s^-1),0.98,0.10
R2 (s^-1),32.14,7.04
Red. Chi-sq,0.18
