Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.29,0.04
kexAB (s^-1),41,6
R1 (s^-1),1.76,0.11
R2 (s^-1),25.12,0.14
Red. Chi-sq,0.56
