Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.650,0.650
dwB (ppm),2.66,0.05
kexAB (s^-1),2796,134
R1 (s^-1),1.30,0.09
R2 (s^-1),20.33,0.20
Red. Chi-sq,0.19
