Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),6.58,2.20
kexAB (s^-1),3967,3930
R1 (s^-1),4.54,1.04
R2 (s^-1),28.41,2.64
Red. Chi-sq,6.82
