Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),-1.24,0.01
kexAB (s^-1),11,2
R1 (s^-1),1.32,0.07
R2 (s^-1),8.16,0.08
Red. Chi-sq,0.88
