Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),2.04,0.10
kexAB (s^-1),3160,272
R1 (s^-1),2.16,0.12
R2 (s^-1),25.80,0.35
Red. Chi-sq,0.85
