Fit #1
gc1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.56,0.04
kexAB (s^-1),4645,552
R1 (s^-1),2.37,0.10
R2 (s^-1),15.63,0.32
Red. Chi-sq,0.40
