Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),0.95,0.06
kexAB (s^-1),2058,393
R1 (s^-1),5.49,0.25
R2 (s^-1),12.74,0.53
Red. Chi-sq,31.28
