Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),4.62,0.00
kexAB (s^-1),10,1
R1 (s^-1),2.16,0.04
R2 (s^-1),14.09,0.05
Red. Chi-sq,0.37
