Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),6.63,5.87
kexAB (s^-1),4227,8769
R1 (s^-1),3.95,1.28
R2 (s^-1),35.70,3.29
Red. Chi-sq,8.02
