Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),6.97,4.87
kexAB (s^-1),4227,8769
R1 (s^-1),5.03,1.13
R2 (s^-1),30.28,3.00
Red. Chi-sq,8.02
