Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),3.67,0.17
kexAB (s^-1),3070,330
R1 (s^-1),1.36,0.15
R2 (s^-1),28.32,0.32
Red. Chi-sq,0.38
