Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),3.08,0.04
kexAB (s^-1),309,6
R1 (s^-1),1.26,0.05
R2 (s^-1),27.75,0.08
Red. Chi-sq,0.16
