Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),5.15,0.45
kexAB (s^-1),3532,1066
R1 (s^-1),2.78,0.15
R2 (s^-1),24.95,0.47
Red. Chi-sq,0.98
