Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),2.80,0.18
kexAB (s^-1),4978,547
R1 (s^-1),1.85,0.06
R2 (s^-1),29.84,0.36
Red. Chi-sq,0.42
