Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),2.06,0.09
kexAB (s^-1),803,77
R1 (s^-1),4.55,0.03
R2 (s^-1),20.94,0.04
Red. Chi-sq,0.44
