Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),3.23,0.05
kexAB (s^-1),3568,0
R1 (s^-1),0.68,0.13
R2 (s^-1),26.82,0.26
Red. Chi-sq,0.19
