Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),5.40,0.49
kexAB (s^-1),3185,843
R1 (s^-1),2.96,0.75
R2 (s^-1),23.53,1.61
Red. Chi-sq,3.45
