Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),4.70,0.54
kexAB (s^-1),3185,843
R1 (s^-1),2.60,0.83
R2 (s^-1),29.39,1.80
Red. Chi-sq,3.45
