Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),6.14,2.47
kexAB (s^-1),4355,5519
R1 (s^-1),4.36,1.67
R2 (s^-1),34.32,4.78
Red. Chi-sq,18.80
