Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),5.69,3.09
kexAB (s^-1),4355,5519
R1 (s^-1),2.84,2.07
R2 (s^-1),40.89,5.12
Red. Chi-sq,18.80
