Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),0.56,0.08
kexAB (s^-1),3080,1032
R1 (s^-1),1.99,0.08
R2 (s^-1),14.27,0.28
Red. Chi-sq,0.45
