Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),2.43,0.09
kexAB (s^-1),654,24
R1 (s^-1),1.04,0.16
R2 (s^-1),29.78,0.17
Red. Chi-sq,0.49
