Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),4.08,0.10
kexAB (s^-1),654,24
R1 (s^-1),0.66,0.13
R2 (s^-1),20.00,0.19
Red. Chi-sq,0.49
