Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),3.58,0.24
kexAB (s^-1),81,9
R1 (s^-1),1.97,0.06
R2 (s^-1),22.76,0.09
Red. Chi-sq,0.26
