param,fitval,fiterror
pB,0.08000,0.00000
pC,0.00000,0.00000
dwB,3.80795,0.09547
dwC,-0.00000,0.00000
kexAB,8.16309,8.28850
kexAC,-0.00000,0.00000
kexBC,-0.00000,0.00000
R1,1.95902,0.43993
R2,13.00791,0.47238
rchi2,16.74756,0.0
