Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),5.18,0.13
kexAB (s^-1),306,11
R1 (s^-1),2.53,0.07
R2 (s^-1),19.94,0.09
Red. Chi-sq,0.44
