Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),5.14,0.17
kexAB (s^-1),306,11
R1 (s^-1),2.08,0.08
R2 (s^-1),13.97,0.11
Red. Chi-sq,0.44
