Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.200,2.200
dwB (ppm),3.45,0.04
kexAB (s^-1),2208,69
R1 (s^-1),1.00,0.25
R2 (s^-1),20.02,0.44
Red. Chi-sq,0.44
