Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),4.27,4.27
kexAB (s^-1),13,18
R1 (s^-1),0.97,0.10
R2 (s^-1),32.13,0.18
Red. Chi-sq,0.17
