Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),6.17,3.22
kexAB (s^-1),4569,5880
R1 (s^-1),1.72,0.39
R2 (s^-1),30.92,1.13
Red. Chi-sq,2.48
