Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),6.49,2.72
kexAB (s^-1),4569,5880
R1 (s^-1),1.94,0.34
R2 (s^-1),22.26,1.10
Red. Chi-sq,2.48
