Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),7.00,3.20
kexAB (s^-1),5745,4705
R1 (s^-1),1.83,0.11
R2 (s^-1),32.91,1.00
Red. Chi-sq,1.27
