Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),0.88,0.11
kexAB (s^-1),3604,650
R1 (s^-1),2.56,0.04
R2 (s^-1),20.17,0.12
Red. Chi-sq,0.37
