Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),0.96,0.10
kexAB (s^-1),3604,650
R1 (s^-1),2.27,0.04
R2 (s^-1),13.94,0.11
Red. Chi-sq,0.37
