Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),0.50,0.06
kexAB (s^-1),1492,251
R1 (s^-1),1.56,0.07
R2 (s^-1),30.52,0.11
Red. Chi-sq,0.99
