Fit #1
G7N1_pH5.3HS_25C Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),-0.93,0.06
kexAB (s^-1),1492,251
R1 (s^-1),2.07,0.02
R2 (s^-1),8.34,0.05
Red. Chi-sq,0.99
