Fit #1
ac8 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),2.40,0.03
kexAB (s^-1),1734,37
R1 (s^-1),1.03,0.24
R2 (s^-1),31.07,0.35
Red. Chi-sq,0.30
