Fit #1
ac8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.85,0.06
kexAB (s^-1),3178,193
R1 (s^-1),3.13,0.76
R2 (s^-1),25.18,1.55
Red. Chi-sq,3.38
