Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),3.35,0.23
kexAB (s^-1),175,12
R1 (s^-1),2.43,0.04
R2 (s^-1),20.38,0.05
Red. Chi-sq,0.26
