Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),4.61,0.26
kexAB (s^-1),175,12
R1 (s^-1),2.12,0.03
R2 (s^-1),14.20,0.05
Red. Chi-sq,0.26
