Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),3.50,0.11
kexAB (s^-1),990,52
R1 (s^-1),1.64,0.06
R2 (s^-1),16.54,0.09
Red. Chi-sq,0.12
