Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),3.60,0.07
kexAB (s^-1),467,10
R1 (s^-1),1.16,0.06
R2 (s^-1),18.38,0.07
Red. Chi-sq,0.15
