Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),5.31,1.16
kexAB (s^-1),2923,1509
R1 (s^-1),2.16,0.13
R2 (s^-1),17.17,0.29
Red. Chi-sq,0.50
