Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),-0.77,0.03
kexAB (s^-1),576,92
R1 (s^-1),1.42,0.04
R2 (s^-1),7.96,0.07
Red. Chi-sq,0.30
