Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),3.75,0.02
kexAB (s^-1),611,7
R1 (s^-1),2.81,0.02
R2 (s^-1),19.80,0.06
Red. Chi-sq,0.17
