Date : 12/17/2017	Time : 12:01:27	
C:\UVWINLAB\DNA81U1.SP	
15.00	0.6261
15.50	0.6264
16.00	0.6263
16.50	0.6266
17.00	0.6270
17.50	0.6271
18.00	0.6272
18.50	0.6276
19.00	0.6282
19.50	0.6285
20.00	0.6289
20.50	0.6299
21.00	0.6305
21.50	0.6310
22.00	0.6316
22.50	0.6325
23.00	0.6330
23.50	0.6334
24.00	0.6338
24.50	0.6343
25.00	0.6347
25.50	0.6354
26.00	0.6355
26.50	0.6359
27.00	0.6368
27.50	0.6369
28.00	0.6372
28.50	0.6381
29.00	0.6386
29.50	0.6389
30.00	0.6399
30.50	0.6405
31.00	0.6414
31.50	0.6423
32.00	0.6432
32.50	0.6439
33.00	0.6452
33.50	0.6456
34.00	0.6469
34.50	0.6472
35.00	0.6484
35.50	0.6496
36.00	0.6510
36.50	0.6520
37.00	0.6534
37.50	0.6547
38.00	0.6562
38.50	0.6580
39.00	0.6594
39.50	0.6605
40.00	0.6624
40.50	0.6649
41.00	0.6667
41.50	0.6695
42.00	0.6719
42.50	0.6749
43.00	0.6778
43.50	0.6804
44.00	0.6837
44.50	0.6860
45.00	0.6886
45.50	0.6942
46.00	0.6979
46.50	0.7021
47.00	0.7059
47.50	0.7103
48.00	0.7142
48.50	0.7184
49.00	0.7219
49.50	0.7257
50.00	0.7293
50.50	0.7326
51.00	0.7356
51.50	0.7391
52.00	0.7413
52.50	0.7441
53.00	0.7457
53.50	0.7484
54.10	0.7506
54.60	0.7516
55.10	0.7533
55.60	0.7548
56.10	0.7569
56.60	0.7575
57.10	0.7583
57.60	0.7594
58.10	0.7606
58.60	0.7612
59.10	0.7620
59.60	0.7623
60.10	0.7637
60.60	0.7641
61.10	0.7642
61.60	0.7647
62.10	0.7651
62.60	0.7662
63.10	0.7670
63.60	0.7675
64.10	0.7670
64.60	0.7677
65.10	0.7687
65.60	0.7691
66.10	0.7693
66.60	0.7695
67.10	0.7697
67.60	0.7706
68.10	0.7708
68.60	0.7714
69.10	0.7715
69.60	0.7725
70.10	0.7728
70.60	0.7731
71.10	0.7740
71.60	0.7736
72.10	0.7740
72.60	0.7743
73.10	0.7747
73.60	0.7747
74.10	0.7749
74.60	0.7755
