filename,mds,bds,mss,bss,delH,Tm(K),Tm(C),delS,delG_25C,delG_37C,Ct,redchi2,aic,bic,mode
20210118_probe11_melting4_gac_at.txt,0.000520269854179703,0.6229231994255864,0.0014432089370249755,0.642435678508766,-92.89992577481786,331.9202768857419,58.76027688574186,-0.253239245888926,-17.39411222057568,-14.355241269908575,3.0,0.04617597976753012,-1872.2026138872243,-1856.335262897187,duplex
avg,0.000520269854179703,0.6229231994255864,0.0014432089370249755,0.642435678508766,-92.89992577481786,331.9202768857419,58.76027688574186,-0.253239245888926,-17.39411222057568,-14.355241269908575,3.0,0.04617597976753012,-1872.2026138872243,-1856.335262897187,duplex
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
