Fit #1
G_C8_Off_clean Pars,Fit Value,Error
pB (%),0.080,0.080
dwB (ppm),4.27,4.27
kexAB (s^-1),685,88
R1 (s^-1),2.56,0.04
R2 (s^-1),16.71,0.06
Red. Chi-sq,0.27
